Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Folding, sorting and degradation	mmu03050	Proteasome - Mus musculus (house mouse)	23/2177	47/11152	5.24702630442894e-06	5.53322773921597e-05	3.09633131202346e-05	26443/59029/19192/19170/67151/19167/67089/66537/57296/26445/19181/69077/19177/22123/21762/19175/26442/23996/26446/228769/19166/19171/56436	23
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05211	Renal cell carcinoma - Mus musculus (house mouse)	30/2177	70/11152	6.478818599245e-06	6.63126138981547e-05	3.71077845467593e-05	70584/67923/94315/18479/215449/224105/67673/21803/26396/209446/107746/22339/18709/17295/26413/11652/20662/18707/20525/112405/12540/112406/12015/19247/13819/18708/14194/12914/19353/14388	30
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cell growth and death	mmu04218	Cellular senescence - Mus musculus (house mouse)	60/2177	181/11152	8.91310891958154e-06	8.8621768686125e-05	4.95917338382732e-05	75660/19058/17246/15257/22335/17532/103213/22333/12234/16438/14972/13555/22334/15258/21803/26396/26416/13197/19046/56484/103583/16439/22084/12333/231724/21812/19045/18709/12445/12567/19211/14963/26413/12192/17126/29857/19360/17873/268697/19367/56717/12530/19056/11652/18707/26397/12313/19055/19047/13557/12315/11739/23882/17164/26399/21813/18708/18787/13685/14964	60
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cardiovascular disease	mmu05417	Lipid and atherosclerosis - Mus musculus (house mouse)	69/2177	217/11152	9.89031216925026e-06	9.56063509694192e-05	5.35002266465292e-05	15510/14828/18607/11911/19058/54131/20183/21353/78943/16803/18750/13665/12048/20181/22324/215449/16438/226641/108058/16159/11848/18988/18798/56637/18797/26416/20656/12371/26409/12028/13198/16835/18709/18035/18024/26413/66513/29857/26400/19056/11652/15481/18707/26397/193740/12313/15511/19055/17874/26419/12322/12315/12540/22433/12015/15519/76580/26399/22030/18708/26420/12323/19353/17972/15525/14281/19878/117149/16151	69
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Chromosome	mmu03082	ATP-dependent chromatin remodeling - Mus musculus (house mouse)	48/2177	136/11152	1.06921476920843e-05	0.000100563983698523	5.62744615372859e-05	83796/51812/100043597/22385/93762/66923/225280/17191/70998/93696/56456/64050/19708/68142/216848/70088/56249/15270/243842/56207/81601/17192/52004/21427/433759/70127/68094/232440/21761/107932/57376/56397/269397/234366/66993/77605/239985/26914/83797/229542/20174/104457/11461/93760/78656/23942/20586/116848	48
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05225	Hepatocellular carcinoma - Mus musculus (house mouse)	58/2177	175/11152	1.25824752230188e-05	0.00011522898362133	6.44808287052208e-05	83796/13542/93687/66923/21416/234779/107986/18750/12048/56456/13555/21803/56637/23805/26396/11789/68214/13197/22409/12028/70127/16974/21812/68094/18709/18024/12567/19211/17295/26413/17126/57376/14367/17873/13544/56717/22411/66993/11652/20662/18707/14865/239985/83797/50493/13557/11461/12015/23882/21813/16973/93760/50868/18708/20586/14388/58988/22420	58
diffbind__all_peaks.TG.vs.WT	Metabolism	Carbohydrate metabolism	mmu00640	Propanoate metabolism - Mus musculus (house mouse)	17/2177	31/11152	1.30553849494412e-05	0.000116494204164245	6.51888317313529e-05	107476/110821/80911/20916/52665/56690/74147/100705/380660/93747/11409/11430/104776/12039/227095/20917/17850	17
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Environmental adaptation	mmu04710	Circadian rhythm - Mus musculus (house mouse)	18/2177	34/11152	1.39419691527917e-05	0.000121295131629288	6.78753761385912e-05	241113/19883/12234/18030/13170/12953/103583/20893/12912/50789/18626/26965/104318/18628/353187/21402/213311/108097	18
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05220	Chronic myeloid leukemia - Mus musculus (house mouse)	31/2177	76/11152	1.54072547577186e-05	0.000130773772089904	7.31795155373026e-05	17246/107986/13017/12048/13555/13016/21803/26396/13197/12028/433759/21812/18709/18035/12567/26413/17873/11652/20662/18707/13557/14013/12015/23882/19247/21813/20851/18708/11350/12402/16151	31
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cell growth and death	mmu04110	Cell cycle - Mus musculus (house mouse)	53/2177	157/11152	1.64269098003808e-05	0.000136108681203155	7.61648700017654e-05	69716/75430/52717/19357/26428/17246/217232/18393/22631/12581/13555/21803/56637/12572/30939/13197/20842/67052/22642/56317/433759/26932/12445/12567/17126/17873/268697/12530/99152/56371/52206/218914/13557/26965/22627/69957/17220/59008/225849/105837/211586/70315/12237/23882/21402/11350/13006/12914/66671/68999/67849/22390/18538	53
