Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04070	Phosphatidylinositol signaling system - Mus musculus (house mouse)	20/1003	96/11152	0.000287502673268802	0.00288348269366651	0.0018425093921561	269180/16331/240752/69718/72469/18750/12313/217837/18708/104015/20975/18797/327655/18798/242291/18707/12315/16332/18709/234779	20
consensus__WT_consensus	Metabolism	Global and overview maps	mmu01212	Fatty acid metabolism - Mus musculus (house mouse)	15/1003	62/11152	0.00030067625739909	0.00292944582208828	0.00187187925658982	11370/107476/11430/71147/14979/12894/20249/30963/11364/20280/80911/11409/14081/106529/68801	15
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04912	GnRH signaling pathway - Mus musculus (house mouse)	19/1003	90/11152	0.000338576142397026	0.00320706845992739	0.00204927665135042	26396/14672/26420/26397/18750/12313/11911/29857/11515/26416/20662/13653/12322/18797/18798/18749/12315/26400/18747	19
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04150	mTOR signaling pathway - Mus musculus (house mouse)	28/1003	158/11152	0.00036480249800321	0.00336209869781337	0.00214833903518249	14367/22409/16367/20393/74747/20869/26396/29869/18750/14245/67046/18708/109270/20662/72124/227743/75425/83409/56692/56717/18707/56430/252875/11652/67605/66508/13685/18709	28
consensus__WT_consensus	Organismal Systems	Nervous system	mmu04722	Neurotrophin signaling pathway - Mus musculus (house mouse)	23/1003	121/11152	0.000429006909325797	0.0038497725284236	0.00245995651607867	16367/26396/327826/26420/192662/18035/12313/73086/18708/11911/29857/26416/20662/12322/12015/18707/108960/12315/11652/26400/18709/234779/23938	23
consensus__WT_consensus	Metabolism	Global and overview maps	mmu01240	Biosynthesis of cofactors - Mus musculus (house mouse)	27/1003	153/11152	0.000493758555878224	0.00431722224498653	0.00275865104093907	171567/107508/216134/216558/211347/18102/71743/108156/268566/17252/11565/71147/29858/11636/73373/18041/319945/230027/192185/11669/12036/67164/12850/209176/15288/74080/331026	27
consensus__WT_consensus	Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum - Mus musculus (house mouse)	30/1003	178/11152	0.00055404967315544	0.00472327346365013	0.00301811269324148	66967/56709/22213/26420/66397/67128/78943/71853/20334/110616/105245/218811/11911/56424/240667/57743/22030/14828/81910/27054/13002/13200/63958/140499/75744/26400/19358/56445/15481/68292	30
consensus__WT_consensus	Organismal Systems	Immune system	mmu04664	Fc epsilon RI signaling pathway - Mus musculus (house mouse)	15/1003	66/11152	0.000616749812861234	0.00512955332160197	0.00327772044319064	16331/26396/26420/26397/18750/18708/29857/26416/22324/20662/18707/11652/26400/18709/234779	15
consensus__WT_consensus	Genetic Information Processing	Folding, sorting and degradation	mmu03050	Proteasome - Mus musculus (house mouse)	12/1003	47/11152	0.000706387266161435	0.00558131094393145	0.00356638791601732	26446/26443/19167/19166/19177/59029/228769/26442/26445/67151/23996/19171	12
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04068	FoxO signaling pathway - Mus musculus (house mouse)	24/1003	133/11152	0.000714770251838503	0.00558131094393145	0.00356638791601732	241113/16367/20393/20869/17873/26396/26420/68401/23882/18708/29857/12914/20656/26416/20662/108097/12795/329934/18707/21803/11652/15469/26558/18709	24
consensus__WT_consensus	Metabolism	Energy metabolism	mmu00190	Oxidative phosphorylation - Mus musculus (house mouse)	25/1003	141/11152	0.000731369895368993	0.00558131094393145	0.00356638791601732	12859/226646/66414/407785/66945/12864/67942/12856/28080/69875/17991/11946/225887/11949/67126/66046/114143/67680/11958/13063/67003/66916/66925/12858/22273	25
consensus__WT_consensus	Cellular Processes	Cell growth and death	mmu04218	Cellular senescence - Mus musculus (house mouse)	30/1003	181/11152	0.000736536634829664	0.00558131094393145	0.00356638791601732	103213/17873/26396/22333/26397/12192/12313/23882/18708/22334/29857/26416/14972/14963/12445/56717/18707/19046/231724/18787/15258/12315/21803/11652/75660/13685/11739/18709/17532/12530	30
